Code,Title,Subtitle,Description,Default,CallToAction,ActionUrl,ActionText,DisplayName,Model,Property,Attribute
0,Something’s gone wrong,,Please try again later,TRUE,,,,,,,
310,Too many redirects,,Too many redirects occurred to while attempting authentication,,Please sign out of the system and try again,/sign-out,Log Out,,,,
400,Something’s gone wrong,,Please try again later,,,,,,,,
401,Something’s gone wrong,,Please sign out and sign in again to continue,,,/sign-out,Sign in,,,,
403,Something’s gone wrong,,Use your browser’s ‘Back’ button to return to the previous step.,,,,,,,,
404,We can’t find the page you're looking for,,Use your browser’s ‘Back’ button to return to the previous step.,,,,,,,,
410,This page is no longer available,,The data for the page you requested is no longer available,,,,,,,,
408,Something’s gone wrong,,Use your browser’s ‘Back’ button to return to the previous step.,,,,,,,,
429,Something’s gone wrong,,Please try again later,,,,,,,,
500,Something’s gone wrong,,Please try again later,,,,,,,,
501,Something’s gone wrong,,Please try again later,,,,,,,,
503,Service Unavailable,,The Modern Slavery Reporting service is currently unavailable due to maintenance,,Please try again later,,,,,,
1000,You’re not signed in properly,,Please sign out and sign in again to continue,,Sign out,/sign-out,,,,,
1001,You’re not signed in properly,,Please sign out and sign in again to continue,,Sign out,/sign-out,,,,,
1002,You’re not signed in,,Please sign in to continue,,Sign in,/Home/Login,,,,,
1003,Something’s gone wrong,,Please try again later,,,,,,,,
1004,Something’s gone wrong,,There was a problem sending your verification email,,Try again now,/sign-up/verify-email,Resend,,,,
1005,There's a problem with your text,,Invalid characters: {badChars},,,,,,,,
1100,You haven’t verified your email address yet,,Please verify your email address to continue,,Verify your email address,/sign-up/verify-email,,,,,
1101,You haven’t verified your email address yet,,The email we sent you has expired. You’ll need to get a new email to continue,,Get a new verification email,/sign-up/verify-email,,,,,
1102,You haven’t verified your email address yet,,"Please check your email and junk mail folder. If you can’t find our email, you can request another one in {remainingTime}",,,,,,,,
1103,You haven’t verified your email address yet,,"Please check your email and junk mail folder. If you can’t find our email, you can now request another one",,Get a new verification email,/sign-up/verify-email,,,,,
1104,We need more information about your organisation,,,,Tell us about your organisation,/Register/organisation-type,,,,,
1106,Your PIN has expired,,,,Get a replacement PIN,/Register/pin-sent/{OrganisationIdentifier},,,,,
1107,Please enter your PIN,,"You need to enter your PIN that we sent in the post to complete your registration. If you haven’t got it yet, you can request another one in {remainingTime}",,Enter your PIN,/Register/activate-service/{OrganisationIdentifier},,,,,
1109,You’re already registered for this service,,,,Manage your organisations,/manage-organisations,,,,,
1110,You’ve made too many attempts to verify your email address,,Please sign out and try again in {remainingTime},,,/sign-out,,,,,
1111,You’ve entered the wrong email verification code,,Please try again using the correct verification code,,,,,,,,
1112,Something’s gone wrong,,We need you to tell us about your organisation again,,Tell us about your organisation,/Register/organisation-type,,,,,
1113,You’ve entered the incorrect PIN too many times,,Sign in again and enter your PIN in {remainingTime},,,/sign-out,Sign out,,,,
1114,You’ve entered the wrong registration review code,,Please try again using the correct registration review code,,,,,,,,
1115,This registration request isn't valid,,This registration was previously declined and the user informed by email,,,,,,,,
1117,Forbidden,,As an administrator you are not permitted to view this page,,,,,,,,
1118,Something’s gone wrong,,Please start your search again,,Find Organisation,/Viewing/search-results,,,,,
1120,It's too soon to request a new PIN,,Please wait for up to 7 days for your PIN to arrive. You can request another PIN in {remainingTime},,Enter your PIN now,/Register/activate-service/{OrganisationIdentifier},,,,,
1121,You’ve tried to reset your password too many times,,You can try again in {remainingTime},,,,,,,,
1122,Something’s gone wrong,,There was a problem sending your password reset email. Please try again.,,,,,,,,
1123,You’ve entered the wrong password reset code,,Please try again using the correct password reset code,,,,,,,,
1124,This password reset request is no longer valid,,This user account no longer exists. You must register again,,Register now,/Register/about-you,,,,,
1125,Too many attempts,,You've attempted this action too many times.,,Please try again in {remainingTime},#,,,,,
1126,This password reset request has expired,,Please request a new password reset email.,,Reset password,/Register/password-reset,,,,,
1127,Password successfully reset,,Your new password has been accepted.,,,/manage-organisations,Sign In,,,,
1130,We first need to know your organisation,,,,Select your organisation,/manage-organisations,,,,,
1131,Something’s gone wrong,,There was a problem sending the cancellation email. Please try again.,,,,,,,,
1132,Something’s gone wrong,,There was a problem sending the acceptance email. Please try again.,,,,,,,,
1133,Too many password resets,,Too many password resets were recently requested from your internet address.,,Please try again in {remainingTime},/register/password-reset,,,,,
1134,Session has expired,,Your session has expired.,,,,,,,,
1135,Address Expired,,The web address link you entered expired on {expiryDate} and is no longer available.,,,,,,,,
1136,Address Unrecognised,,The web address link you entered is invalid.,,Please try again entering the correct full web address.,,,,,,
1137,Security Already Used,,Your security code has already been used.,,Resend a new security code,/Scope/resend-security-code,,,,,
1138,Something’s gone wrong,,We need to reload the page again,,,#,,,,,
1139,Update Queued,,Your update has been successfully queued. Please refresh the page in a few minutes.,,,#,,,,,
1140,Companies House Unavailable,,We are having problems connecting to the Companies House service.<br /> Please try again later or use the button below to register your organisation manually.,,Register your organisation manually,/register/add-organisation,,,,,
1141,We couldn't connect to the Companies House service - please use the 'Search' button to try again.,,,,,,,,,,
1142,We couldn't connect to the Companies House service - please use the 'Confirm' button to try again.,,,,,,,,,,
1143,Your references conflict with {conflictCount} existing organisations.,,Consider removing this reference,,,,,,,,
1144,Your security code has expired,,Enter a new security code,,,,,,,,
1145,This registration request is no longer valid,,This registration has previously been approved and the user informed by email,,,,,,,,
1146,Wrong search type,,The organisation you selected belongs to the public sector.,,Search again while selecting 'Public sector organisation'...,/register/organisation-type,,,,,
1147,Wrong search type,,The organisation you selected does not belong to the public sector.,,Search again while selecting a private sector organisation...,/register/organisation-type,,,,,
1148,Someone else is registering for this organisation,,You cannot register for this organisation while another user is in the process of registering.,,Please try again in {remainingTime}<br />or contact us if you need to register sooner.,#,Back,,,,
1149,This organisation has been deleted,,You cannot register for this organisation as it has been deleted from our records.,,Please contact us to register this organisation.,#,Back,,,,
1150,Page has expired,,This page has already been submitted by you and cannot be resubmitted.<br /> <br /> This may also happen when you accidentally double-click on a button.,,Use the button below to return to the previous page and try again...,#,Back to previous page,,,,
1151,Feature Unavailable,,The feature '{featureName}' is currently unavailable,,,/,,,,,
1153,Forbidden,,You don't have permission to report for this organisation,,,/manage-organisation/{organisationIdentifier},,,,,
1154,Statement Summary Locked,,Another user is currently editing this statement summary. Please try again later,,,/manage-organisation/{organisationIdentifier},,,,,
1155,Reporting dealine expired,,The reporting deadline has expired and changes are no longer permitted.,,,/manage-organisation/{organisationIdentifier},,,,,
1156,"Please check your email and junk mail folder. If you can’t find our email, you can request another one in {remainingTime}",,,,,,,,,,
2000,There's a problem with your address,,Enter up to 100 characters,,,,,Address1,AddAddressViewModel,Address1,MaxLength
2001,There's a problem with your address,,Please enter your address,,,,,Address1,AddAddressViewModel,Address1,Required
2002,There's a problem with your address,,Enter up to 100 characters,,,,,Address2,AddAddressViewModel,Address2,MaxLength
2003,There's a problem with your address,,Enter up to 100 characters,,,,,City,AddAddressViewModel,City,MaxLength
2004,There's a problem with your address,,Please enter your town or city,,,,,Town or City,AddAddressViewModel,City,Required
2005,There's a problem with your address,,Enter up to 100 characters,,,,,Country,AddAddressViewModel,Country,MaxLength
2006,There's a problem with your address,,Enter up to 100 characters,,,,,County,AddAddressViewModel,County,MaxLength
2007,There's a problem with your address,,Please enter your postcode,,,,,Postcode,AddAddressViewModel,PostCode,Required
2008,There's a problem with your address,,Enter between 3 and 20 characters,,,,,Postcode,AddAddressViewModel,PostCode,StringLength
2009,There's a problem with your contact details,,Please enter a valid email address,,,,,Email address,AddContactViewModel,ContactEmailAddress,EmailAddress
2010,There's a problem with your contact details,,Please enter your email address,,,,,Email address,AddContactViewModel,ContactEmailAddress,Required
2011,There's a problem with your address,,Enter up to 50 characters,,,,,First name,AddContactViewModel,ContactFirstName,MaxLength
2012,There's a problem with your contact details,,Please enter your first name,,,,,First name,AddContactViewModel,ContactFirstName,Required
2013,There's a problem with your contact details,,Enter up to 50 characters,,,,,Job title,AddContactViewModel,ContactJobTitle,MaxLength
2014,There's a problem with your contact details,,Please enter your job title,,,,,Job title,AddContactViewModel,ContactJobTitle,Required
2015,There's a problem with your contact details,,Enter up to 50 characters,,,,,Last name,AddContactViewModel,ContactLastName,MaxLength
2016,There's a problem with your contact details,,Please enter your last name,,,,,Last name,AddContactViewModel,ContactLastName,Required
2017,There's a problem with your contact details,,Enter up to 20 digits,,,,,Telephone number,AddContactViewModel,ContactPhoneNumber,MaxLength
2018,There's a problem with your contact details,,Please enter a valid phone number,,,,,Telephone number,AddContactViewModel,ContactPhoneNumber,Phone
2019,There's a problem with your contact details,,Please enter your telephone number,,,,,Telephone number,AddContactViewModel,ContactPhoneNumber,Required
2020,There's a problem with your organisation details,,Please enter a charity number,,,,,Charity number,AddOrganisationViewModel,CharityNumber,Required
2021,There's a problem with your organisation details,,Enter between 3 and 100 characters,,,,,Charity number,AddOrganisationViewModel,CharityNumber,StringLength
2022,There's a problem with your organisation details,,Company number must contain 8 characters,,,,,Company number,AddOrganisationViewModel,CompanyNumber,CompanyNumber
2023,There's a problem with your organisation details,,Please enter a company number,,,,,Company number,AddOrganisationViewModel,CompanyNumber,Required
2024,There's a problem with your organisation details,,Please enter a mutual partnership number,,,,,Mutual partnership number,AddOrganisationViewModel,MutualNumber,Required
2025,There's a problem with your organisation details,,Enter between 3 and 100 characters,,,,,Mutual partnership number,AddOrganisationViewModel,MutualNumber,StringLength
2026,There's a problem with your organisation details,,Please enter your organisation name,,,,,Organisation name,AddOrganisationViewModel,OrganisationName,Required
2027,There's a problem with your organisation details,,Enter between 3 and 100 characters,,,,,Organisation name,AddOrganisationViewModel,OrganisationName,StringLength
2028,There's a problem with your organisation details,,Please enter a name for this reference,,,,,Name or type,AddOrganisationViewModel,OtherName,Required
2029,There's a problem with your organisation details,,Enter between 3 and 100 characters,,,,,Name or type,AddOrganisationViewModel,OtherName,StringLength
2030,There's a problem with your organisation details,,Please enter a value for this reference,,,,,Unique number or value,AddOrganisationViewModel,OtherValue,Required
2031,There's a problem with your organisation details,,Enter between 3 and 100 characters,,,,,Unique number or value,AddOrganisationViewModel,OtherValue,StringLength
2032,There's a problem with your PIN,,"Please enter your PIN, using at least 7 letters or numbers",,,,,Enter pin,CompleteViewModel,PIN,Pin
2033,There’s a problem with your PIN,,Please enter your PIN,,,,,Enter pin,CompleteViewModel,PIN,Required
2034,Invalid request,,,,,,,,CookieSettingsViewModel,ApplicationInsights,Text
2035,Invalid request,,,,,,,,CookieSettingsViewModel,GoogleAnalyticsGovUk,Text
2036,Invalid request,,,,,,,,CookieSettingsViewModel,GoogleAnalyticsMSU,Text
2037,Invalid request,,,,,,,,CookieSettingsViewModel,RememberSettings,Text
2038,There's a problem with your email address,,Please enter a valid email address (e.g. john.smith@smithlimited.co.uk),,,,,Email address,EnterAnswersViewModel,EmailAddress,EmailAddress
2039,There's a problem with your contact details,,Please enter your email address,,,,,Email address,EnterAnswersViewModel,EmailAddress,Required
2040,There's a problem with your contact details,,Please enter your first name,,,,,,EnterAnswersViewModel,FirstName,Required
2041,There's a problem with your contact details,,Please enter your job title,,,,,,EnterAnswersViewModel,JobTitle,Required
2042,There's a problem with your contact details,,Please enter your last name,,,,,,EnterAnswersViewModel,LastName,Required
2043,You must provide details for other reason,,Enter details,,,,,,EnterAnswersViewModel,OtherReason,Required
2044,Select the reasons why your organisation does not have to publish a modern slavery statement,,Select the reasons why your organisation does not have to publish a modern slavery statement,,,,,,EnterAnswersViewModel,SelectedReasonOptions,MinLength
2045,You must provide details for turnover,,Please answer the turnover question,,,,,,EnterAnswersViewModel,TurnOver,Required
2046,"Enter an organisation reference, matching the details we sent you",,"Enter an organisation reference, matching the details we sent you",,,,,Organisation Reference,EnterCodesViewModel,OrganisationReference,Required
2047,"Enter a security code, matching the details we sent you",,"Enter a security code, matching the details we sent you",,,,,Security code,EnterCodesViewModel,SecurityToken,Required
2048,There's a problem with your feedback details,,Enter up to 2000 characters,,,,,,FeedbackViewModel,Details,MaxLength
2049,There's a problem with your selection,,Tell us how we can improve the service,,,,,,FeedbackViewModel,Details,Required
2050,There's a problem with your email address,,Please enter a valid email address (e.g. john.smith@smithlimited.co.uk),,,,,Email address,FeedbackViewModel,EmailAddress,EmailAddress
2051,There's a problem with your selection,,Select how easy or difficult this service is to use,,,,,,FeedbackViewModel,HowEasyIsThisServiceToUse,Required
2052,There's a problem with your phone number,,Please enter a valid phone number,,,,,Phone number,FeedbackViewModel,PhoneNumber,Phone
2053,There's a problem with your selection,,Select what you did on this service,,,,,,FeedbackViewModel,WhyVisitMSUSite,Required
2054,There’s a problem with your email address or password,,,,,,,,LoginInputModel,Password,Password
2056,There’s a problem with your email address or password,,,,,,,,LoginInputModel,Username,EmailAddress
2057,There's a problem with your search,,Please enter an organisation to search for,,,,,SearchText,OrganisationSearchViewModel,SearchText,Required
2058,There's a problem with your search,,Enter an organisation name or company number of between 3 and 100 characters,,,,,SearchText,OrganisationSearchViewModel,SearchText,StringLength
2059,There's a problem with your email address,,The email addresses don't match. Please enter your email address again,,,,,Confirm your email address,ResetViewModel,ConfirmEmailAddress,Compare
2060,There's a problem with your email address,,Please enter your email address again,,,,,Confirm your email address,ResetViewModel,ConfirmEmailAddress,Required
2061,There's a problem with your password,,"Your password contains invalid characters, please enter your password again",,,,,Confirm password,ResetViewModel,ConfirmPassword,DataType
2062,There's a problem with your email address,,Please enter a valid email address (e.g. john.smith@smithlimited.co.uk),,,,,Email address,ResetViewModel,EmailAddress,EmailAddress
2063,There's a problem with your email address,,Please enter your email address,,,,,Email address,ResetViewModel,EmailAddress,Required
2064,There's a problem with your password,,"Your password contains invalid characters, please try again",,,,,Password,ResetViewModel,Password,DataType
2065,There's a problem with your password,,"Your password isn't valid, please try again",,,,,,ResetViewModel,Password,Password
2066,There's a problem with your password,,Please enter your password,,,,,Password,ResetViewModel,Password,Required
2067,There's a problem with your password,,Your password must be at least {1} characters long,,,,,Password,ResetViewModel,Password,StringLength
2068,There's a problem with your contact details,,The email addresses don't match. Please confirm your email address,,,,,Confirm your email address,ScopingViewModel,ConfirmEmailAddress,Compare
2069,There's a problem with your contact details,,Please confirm your email address,,,,,Confirm your email address,ScopingViewModel,ConfirmEmailAddress,Required
2070,There's a problem with your search,,,,,,,,SearchViewModel,Search,Text
2071,There's a problem with your email address,,The email addresses don't match. Please enter your email address again,,,,,Confirm your email address,SignUpViewModel,ConfirmEmailAddress,Compare
2072,There's a problem with your email address,,Please enter your email address again,,,,,Confirm your email address,SignUpViewModel,ConfirmEmailAddress,Required
2073,There's a problem with your password,,The passwords entries don't match. Please enter your password again,,,,,Confirm your password,SignUpViewModel,ConfirmPassword,Compare
2074,There's a problem with your password,,"Your password contains invalid characters, please enter your password again",,,,,Confirm password,SignUpViewModel,ConfirmPassword,DataType
2075,There's a problem with your password,,Please enter your password again,,,,,Confirm password,SignUpViewModel,ConfirmPassword,Required
2076,There's a problem with your email address,,Please enter a valid email address (e.g. john.smith@smithlimited.co.uk),,,,,Email address,SignUpViewModel,EmailAddress,EmailAddress
2077,There's a problem with your email address,,Please enter your email address,,,,,Email address,SignUpViewModel,EmailAddress,Required
2078,There's a problem with your personal details,,Please enter your first name,,,,,First name,SignUpViewModel,FirstName,Required
2079,There's a problem with your personal details,,Please enter your job title,,,,,Job title,SignUpViewModel,JobTitle,Required
