OrganisationName,CompanyNumber,,,,,,
"""K"" Line Bulk Shipping (UK) Limited",4830352,,,,,,
"""K"" Line LNG Shipping (UK) Limited",5356484,,,,,,
.Big Yellow Self Storage Company Limited,5166173,,,,,,
00032539 Public Limited Company,32539,,,,,,
00358466 PLC,358466,,,,,,
00947912 Limited,947912,,,,,,
01126125 Limited,1126125,,,,,,
0404 Investments Limited,5106531,,,,,,
1 Spinningfields Developments Ltd,5931958,,,,,,
1&1 Internet Limited,3953678,,,,,,
123-Reg Limited,5306504,,,,,,
151 Products Limited,2149608,,,,,,
1869 Limited,9364401,,,,,,
19 Entertainment Limited,1886042,,,,,,
1994 INC Ltd,7296567,,,,,,
1stop Halal Limited,8929070,,,,,,
2 Agriculture Limited,SC156515,,,,,,
2 Entertain Video Limited,1924997,,,,,,
2 Moto Limited,8231834,,,,,,
2 Sisters Food Group Limited,2826929,,,,,,
2 Sisters Poultry Limited,SC440782,,,,,,
21-31 New Oxford Street Development Limited,9560224,,,,,,
22 Bishopsgate (Devco) Limited,9411165,,,,,,
24/26 Holdings Ltd,SC470528,,,,,,
2M Group Limited,7904022,,,,,,
3 Step IT (UK) Limited,5476079,,,,,,
3663 Transport Limited,456846,,,,,,
3C Waste Limited,2632581,,,,,,
3I DM Europe Limited,7381134,,,,,,
3I Group PLC,1142830,,,,,,
3I PLC,397156,,,,,,
3M United Kingdom Public Limited Company,1123045,,,,,,
3VS UK Limited,5090163,,,,,,
4com PLC,6472837,,,,,,
4imprint Group PLC,177991,,,,,,
600 Group Public Limited Company(The),196730,,,,,,
6cats Group Ltd,10344903,,,,,,
6cats International Ltd.,7462194,,,,,,
888 Holdings PLC,12045226,,,,,,
8build Limited,5523722,,,,,,
A & M Group Limited,3532828,,,,,,
A B Graphic International Limited,538043,,,,,,
A C Georgiades Ltd,3688878,,,,,,
A C PLC,6526121,,,,,,
A D BLY Construction Limited,4642985,,,,,,
A E Stuart Limited,8919707,,,,,,
A Gomez Limited,2446884,,,,,,
A H Fuel Oils Ltd,NI030281,,,,,,
A H Worth And Company Limited,451065,,,,,,
A J Walter Aviation Limited,699050,,,,,,
A M Phillip Trucktech Limited,SC287764,,,,,,
A Nelson & CO Limited,249879,,,,,,
A Novo UK Ltd,3591124,,,,,,
A P P Wholesale PLC,6552800,,,,,,
A Pearson Holdings Limited,6532691,,,,,,
A W Jenkinson Transport Limited,8683274,,,,,,
A World of Buzz Ltd,7464694,,,,,,
A&H Construction & Developments (Holdings) Limited,3499989,,,,,,
A&M Minerals Limited,4213387,,,,,,
A&P Group Limited,5832836,,,,,,
A. & B. Glass Company Limited,1543721,,,,,,
A. & H. Construction And Developments PLC,2580900,,,,,,
A. Poortman (London) Limited,485890,,,,,,
A. Schulman Inc. Limited,512225,,,,,,
A. Schulman Thermoplastic Compounds Limited,1018237,,,,,,
A. Share & Sons Limited,323778,,,,,,
A.B. Nutrition Limited,1897599,,,,,,
A.C. Lighting (Holdings) Limited,4513462,,,,,,
A.C. Nielsen Company Limited,3263498,,,,,,
A.C.Flooring Ltd.,3084570,,,,,,
A.Clarke & Co.(Smethwick)Limited,580331,,,,,,
A.E.S. Engineering Limited,392743,,,,,,
"A.E.Yates,Limited",415632,,,,,,
A.F.Blakemore And Son Limited,391135,,,,,,
A.F.Budge(Plant)Limited,790036,,,,,,
A.G. Barr P.L.C.,SC005653,,,,,,
A.G. Parfett & Sons Limited,1472970,,,,,,
A.G. Thames Holdings Limited,987311,,,,,,
A.I.D. Fuel Oils Limited,1445830,,,,,,
A.J. & R.G.Barber (Sales) Limited,750464,,,,,,
A.J. And R.G.Barber Limited,551460,,,,,,
A.J. Morrisroe & Sons Limited,1300615,,,,,,
A.J.N. Steelstock Ltd.,689647,,,,,,
A.K. Stoddart Limited,SC033785,,,,,,
A.L.E. UK Holdings Limited,5403001,,,,,,
A.M.Phillip Limited,SC081280,,,,,,
A.N.A. Airline Management Ltd,7363377,,,,,,
A.N.A. Aviation Group Holdings Ltd,7363374,,,,,,
A.R. & V.Investments Limited,632484,,,,,,
