StatementRiskTypeId,ParentRiskTypeId,Category,Description
1,,1,Goods and services
2,1,1,Goods for resale
3,1,1,Goods not for resale
4,1,1,Services for sale
5,1,1,Services used for operational purposes
6,,1,Vulnerable groups
7,6,1,Migrants
8,6,1,Women
9,6,1,Refugees
10,6,1,Children
11,6,1,Other vulnerable groups
12,,1,Type of work
13,12,1,Temporary work
14,12,1,Seasonal work
15,12,1,Low skill or unskilled work
16,12,1,Hazardous work
17,12,1,Other type of work
18,,1,Sectors
19,18,1,Domestic work
20,18,1,Construction
21,18,1,Manufacturing
22,18,1,"Agriculture, forestries and fishing"
23,18,1,Accommodation and food service activities
24,18,1,Wholesale and trade
25,18,1,Personal services
26,18,1,Mining and quarrying
27,18,1,Other sector
28,,2,Africa
29,28,2,"Algeria, People's Democratic Republic of"
30,28,2,"Angola, Republic of"
31,28,2,"Botswana, Republic of"
32,28,2,British Indian Ocean Territory
33,28,2,"Burundi, Republic of"
34,28,2,"Cameroon, Republic of"
35,28,2,"Cape Verde, Republic of"
36,28,2,Central African Republic
37,28,2,"Chad, Republic of"
38,28,2,"Comoros, Union of the"
39,28,2,"Mayotte, Department of"
40,28,2,"Congo, Republic of the"
41,28,2,"Congo, Democratic Republic of the"
42,28,2,"Benin, Republic of"
43,28,2,"Equatorial Guinea, Republic of"
44,28,2,"Ethiopia, Federal Democratic Republic of"
45,28,2,"Eritrea, State of"
46,28,2,French Southern Territories
47,28,2,"Djibouti, Republic of"
48,28,2,"Gabon, Gabonese Republic"
49,28,2,"Gambia, Republic of the"
50,28,2,"Ghana, Republic of"
51,28,2,"Guinea, Republic of"
52,28,2,"Côte d'Ivoire, Republic of"
53,28,2,"Kenya, Republic of"
54,28,2,"Lesotho, Kingdom of"
55,28,2,"Liberia, Republic of"
56,28,2,"Libya, State of"
57,28,2,"Madagascar, Republic of"
58,28,2,"Malawi, Republic of"
59,28,2,"Mali, Republic of"
60,28,2,"Mauritania, Islamic Republic of"
61,28,2,"Mauritius, Republic of"
62,28,2,"Morocco, Kingdom of"
63,28,2,"Mozambique, Republic of"
64,28,2,"Namibia, Republic of"
65,28,2,"Niger, Republic of"
66,28,2,"Nigeria, Federal Republic of"
67,28,2,"Guinea-Bissau, Republic of"
68,28,2,Reunion
69,28,2,"Rwanda, Republic of"
70,28,2,Saint Helena
71,28,2,"São Tomé and Príncipe, Democratic Republic of"
72,28,2,"Senegal, Republic of"
73,28,2,"Seychelles, Republic of"
74,28,2,"Sierra Leone, Republic of"
75,28,2,"Somalia, Federal Republic of"
76,28,2,"South Africa, Republic of"
77,28,2,"Zimbabwe, Republic of"
78,28,2,"South Sudan, Republic of"
79,28,2,"Sudan, Republic of the"
80,28,2,Sahrawi Arab Democratic Republic
81,28,2,"Eswatini, Kingdom of"
82,28,2,"Togo, Togolese Republic"
83,28,2,"Tunisia, Republic of"
84,28,2,"Uganda, Republic of"
85,28,2,"Egypt, Arab Republic of"
86,28,2,"Tanzania, United Republic of"
87,28,2,Burkina Faso
88,28,2,"Zambia, Republic of"
89,,2,Asia
90,89,2,"Afghanistan, Islamic Republic of"
91,89,2,"Azerbaijan, Republic of"
92,89,2,"Bahrain, Kingdom of"
93,89,2,"Bangladesh, People's Republic of"
94,89,2,"Armenia, Republic of"
95,89,2,"Bhutan, Kingdom of"
96,89,2,Brunei Darussalam
97,89,2,"Myanmar, Union of"
98,89,2,"Cambodia, Kingdom of"
99,89,2,"Sri Lanka, Democratic Socialist Republic of"
100,89,2,"China, People's Republic of"
101,89,2,Taiwan
102,89,2,Christmas Island
103,89,2,Cocos (Keeling) Islands
104,89,2,"Cyprus, Republic of"
105,89,2,Georgia
106,89,2,"Hong Kong, Special Administrative Region of China"
107,89,2,"India, Republic of"
108,89,2,"Indonesia, Republic of"
109,89,2,"Iran, Islamic Republic of"
110,89,2,"Iraq, Republic of"
111,89,2,"Israel, State of"
112,89,2,Japan
113,89,2,"Kazakhstan, Republic of"
114,89,2,"Jordan, Hashemite Kingdom of"
115,89,2,"Korea, Democratic People's Republic of"
116,89,2,"Korea, Republic of"
117,89,2,"Kuwait, State of"
118,89,2,Kyrgyz Republic
119,89,2,Lao People's Democratic Republic
120,89,2,"Lebanon, Lebanese Republic"
121,89,2,"Macao, Special Administrative Region of China"
122,89,2,Malaysia
123,89,2,"Maldives, Republic of"
124,89,2,Mongolia
125,89,2,"Oman, Sultanate of"
126,89,2,"Nepal, State of"
127,89,2,"Pakistan, Islamic Republic of"
128,89,2,"Palestine, state of"
129,89,2,"Philippines, Republic of the"
130,89,2,"Timor-Leste, Democratic Republic of"
131,89,2,"Qatar, State of"
